Time,PosX,PosY,PosZ,RotX,RotY,RotZ
6.5,18.10248,23.73138,-17.54896,0,0,0
6.6,18.10248,23.73138,-17.54896,0,0,0
6.7,18.10248,23.73138,-17.54896,0,0,0
6.8,18.10248,23.73138,-17.54896,0,0,0
6.9,18.10248,23.73138,-17.54896,0,0,0
7.0,18.10248,23.73138,-17.54896,0,0,0
7.1,18.10248,23.73138,-17.54896,0,0,0
7.2,18.10248,23.73138,-17.54896,0,0,0
7.3,18.10248,23.73138,-17.54896,0,0,0
7.4,18.10248,23.73138,-17.54896,0,0,0
7.5,18.10248,23.73138,-17.54896,0,0,0
7.6,18.10248,23.73138,-17.54896,0,0,0
7.7,18.10248,23.73138,-17.54896,0,0,0
7.8,18.10248,23.73138,-17.54896,0,0,0
7.9,18.10248,23.73138,-17.54896,0,0,0
8.0,18.10248,23.73138,-17.54896,0,0,0
8.1,18.10248,23.73138,-17.54896,0,0,0
8.2,18.10248,23.73138,-17.54896,0,0,0
8.3,18.10248,23.73138,-17.54896,0,0,0
8.4,18.10248,23.73138,-17.54896,0,0,0
8.5,18.10248,23.73138,-17.54896,0,0,0
8.6,18.10248,23.73138,-17.54896,0,0,0
8.7,18.10248,23.73138,-17.54896,0,0,0
8.8,18.10248,23.73138,-17.54896,0,0,0
8.9,18.10248,23.73138,-17.54896,0,0,0
9.0,18.10248,23.73138,-17.54896,0,0,0
9.1,18.10248,23.73138,-17.54896,0,0,0
9.2,18.10248,23.73138,-17.54896,0,0,0
9.3,18.10248,23.73138,-17.54896,0,0,0
9.4,18.10248,23.73138,-17.54896,0,0,0
9.5,18.10248,23.73138,-17.54896,0,0,0
9.6,18.10248,23.73138,-17.54896,0,0,0
9.7,18.10248,23.73138,-17.54896,0,0,0
9.8,18.10248,23.73138,-17.54896,0,0,0
9.9,18.10248,23.73138,-17.54896,0,0,0
10.0,18.10248,23.73138,-17.54896,0,0,0
10.1,18.10248,23.73138,-17.54896,0,0,0
10.2,18.10248,23.73138,-17.54896,0,0,0
10.3,18.10248,23.73138,-17.54896,0,0,0
10.4,18.10248,23.73138,-17.54896,0,0,0
10.5,18.10248,23.73138,-17.54896,0,0,0
10.6,18.10248,23.73138,-17.54896,0,0,0
10.7,18.10248,23.73138,-17.54896,0,0,0
10.8,18.10248,23.73138,-17.54896,0,0,0
10.9,18.10248,23.73138,-17.54896,0,0,0
11.0,18.10248,23.73138,-17.54896,0,0,0
11.1,18.10248,23.73138,-17.54896,0,0,0
11.2,18.10248,23.73138,-17.54896,0,0,0
11.3,18.10248,23.73138,-17.54896,0,0,0
11.4,18.10248,23.73138,-17.54896,0,0,0
11.5,18.10248,23.73138,-17.54896,0,0,0
11.6,18.10248,23.73138,-17.54896,0,0,0
11.7,18.10248,23.73138,-17.54896,0,0,0
11.8,18.10248,23.73138,-17.54896,0,0,0
11.9,18.10248,23.73138,-17.54896,0,0,0
12.0,18.10248,23.73138,-17.54896,0,0,0
12.1,18.10248,23.73138,-17.54896,0,0,0
12.2,18.10248,23.73138,-17.54896,0,0,0
12.3,18.10248,23.73138,-17.54896,0,0,0
12.4,18.10248,23.73138,-17.54896,0,0,0
12.5,18.10248,23.73138,-17.54896,0,0,0
12.6,18.10248,23.73138,-17.54896,0,0,0
12.7,18.10248,23.73138,-17.54896,0,0,0
12.8,18.10248,23.73138,-17.54896,0,0,0
12.9,18.10248,23.73138,-17.54896,0,0,0
13.0,18.10248,23.73138,-17.54896,0,0,0
13.1,18.10248,23.73138,-17.54896,0,0,0
13.2,18.10248,23.73138,-17.54896,0,0,0
13.3,18.10248,23.73138,-17.54896,0,0,0
13.4,18.10248,23.73138,-17.54896,0,0,0
13.5,18.10248,23.73138,-17.54896,0,0,0
13.6,18.10248,23.73138,-17.54896,0,0,0
13.7,18.10248,23.73138,-17.54896,0,0,0
13.8,18.10248,23.73138,-17.54896,0,0,0
13.9,18.10248,23.73138,-17.54896,0,0,0
14.0,18.10248,23.73138,-17.54896,0,0,0
14.1,18.10248,23.73138,-17.54896,0,0,0
14.2,18.10248,23.73138,-17.54896,0,0,0
14.3,18.10248,23.73138,-17.54896,0,0,0
14.4,18.10248,23.73138,-17.54896,0,0,0
14.5,18.10248,23.73138,-17.54896,0,0,0
14.6,18.10248,23.73138,-17.54896,0,0,0
14.7,18.10248,23.73138,-17.54896,0,0,0
14.8,18.10248,23.73138,-17.54896,0,0,0
14.9,18.10248,23.73138,-17.54896,0,0,0
15.0,18.10248,23.73138,-17.54896,0,0,0
15.1,18.10248,23.73138,-17.54896,0,0,0
15.2,18.10248,23.73138,-17.54896,0,0,0
15.3,18.10248,23.73138,-17.54896,0,0,0
15.4,18.10248,23.73138,-17.54896,0,0,0
15.5,18.10248,23.73138,-17.54896,0,0,0
15.6,18.10248,23.73138,-17.54896,0,0,0
15.7,18.10248,23.73138,-17.54896,0,0,0
15.8,18.10248,23.73138,-17.54896,0,0,0
15.9,18.10248,23.73138,-17.54896,0,0,0
16.0,18.10248,23.73138,-17.54896,0,0,0
16.1,18.10248,23.73138,-17.54896,0,0,0
16.2,18.10248,23.73138,-17.54896,0,0,0
16.3,18.10248,23.73138,-17.54896,0,0,0
16.4,18.10248,23.73138,-17.54896,0,0,0
16.5,18.10248,23.73138,-17.54896,0,0,0
16.6,18.10248,23.73138,-17.54896,0,0,0
16.7,18.10248,23.73138,-17.54896,0,0,0
16.8,18.10248,23.73138,-17.54896,0,0,0
16.9,18.10248,23.73138,-17.54896,0,0,0
17.0,18.10248,23.73138,-17.54896,0,0,0
17.1,18.10248,23.73138,-17.54896,0,0,0
17.2,18.10248,23.73138,-17.54896,0,0,0
17.3,18.10248,23.73138,-17.54896,0,0,0
17.4,18.10248,23.73138,-17.54896,0,0,0
17.5,18.10248,23.73138,-17.54896,0,0,0
17.6,18.10248,23.73138,-17.54896,0,0,0
17.7,18.10248,23.73138,-17.54896,0,0,0
17.8,18.10248,23.73138,-17.54896,0,0,0
17.9,18.10248,23.73138,-17.54896,0,0,0
18.0,18.10248,23.73138,-17.54896,0,0,0
18.1,18.10248,23.73138,-17.54896,0,0,0
18.2,18.10248,23.73138,-17.54896,0,0,0
18.3,18.10248,23.73138,-17.54896,0,0,0
18.4,18.10248,23.73138,-17.54896,0,0,0
18.5,18.10248,23.73138,-17.54896,0,0,0
